model_name,win,time,final_robot_position,goal_position
PPO,0,1.7921,"(1.5711, 0.8349)","(1.151, 0.3728)"
PPO,0,0.0016,"(0.6045, 1.2058)","(0.4432, 0.1395)"
PPO,0,1.3812,"(0.0947, 0.1166)","(0.3477, 1.4062)"
PPO,0,1.9652,"(0.0918, 0.1075)","(0.9949, 0.5745)"
PPO,0,0.8362,"(1.3355, 1.5458)","(1.7773, 0.6151)"
PPO,0,0.6695,"(0.0981, 0.1038)","(1.5075, 0.874)"
PPO,0,1.2215,"(0.9463, 0.459)","(0.6022, 0.8499)"
PPO,0,11.0935,"(1.3329, 1.7392)","(1.4877, 0.6288)"
PPO,0,0.002,"(1.5363, 1.2867)","(0.4145, 1.9048)"
PPO,0,3.4634,"(0.4104, 1.9269)","(0.4934, 0.3086)"
PPO,0,12.1566,"(1.5896, 0.2237)","(1.0734, 1.3279)"
PPO,1,0.0019,"(1.6769, 0.5196)","(1.6238, 0.5451)"
PPO,0,0.3645,"(0.7136, 0.3405)","(1.5859, 0.3655)"
PPO,0,1.8649,"(1.9272, 1.616)","(0.1281, 1.0285)"
PPO,0,0.0011,"(1.4715, 1.532)","(0.8713, 0.8134)"
PPO,0,0.421,"(0.407, 1.5438)","(1.8573, 1.319)"
PPO,0,1.464,"(0.0739, 0.3988)","(1.7738, 0.3099)"
PPO,0,0.675,"(0.8173, 1.271)","(1.862, 0.8262)"
PPO,0,0.0218,"(1.4936, 0.5415)","(1.0571, 1.1909)"
PPO,1,1.8826,"(0.6139, 1.7543)","(0.7133, 1.7445)"
PPO,0,0.5991,"(0.4133, 0.9913)","(1.1422, 0.7094)"
PPO,0,1.2798,"(1.9075, 1.8965)","(1.0948, 0.8583)"
PPO,0,2.9862,"(1.9264, 1.5115)","(0.4134, 1.7157)"
PPO,0,1.6532,"(1.5005, 0.0745)","(1.9431, 1.094)"
PPO,0,0.9109,"(0.9457, 0.4353)","(0.5963, 1.4646)"
PPO,0,1.3293,"(0.8607, 0.072)","(1.8542, 0.7968)"
PPO,0,0.179,"(0.0973, 1.3177)","(0.4954, 0.974)"
PPO,0,0.7341,"(1.0415, 0.0724)","(1.6107, 0.221)"
PPO,0,2.6949,"(0.4023, 1.9277)","(0.0607, 1.1409)"
PPO,1,0.211,"(0.5549, 1.8177)","(0.6549, 1.7197)"
PPO,0,1.7987,"(0.9109, 1.9265)","(1.1403, 0.938)"
PPO,0,0.0046,"(1.2055, 1.4526)","(0.9918, 0.8429)"
PPO,0,1.5878,"(1.3509, 1.0747)","(1.1514, 1.3576)"
PPO,0,0.7593,"(1.3529, 1.1577)","(0.2576, 1.2202)"
PPO,0,3.1007,"(1.5184, 0.074)","(0.6849, 1.6267)"
PPO,0,9.225,"(0.6834, 1.7776)","(1.1099, 0.777)"
PPO,0,2.7789,"(0.0813, 0.0997)","(1.897, 0.3824)"
PPO,0,0.0185,"(0.6454, 0.0939)","(0.5707, 0.5414)"
PPO,1,1.0961,"(0.9409, 1.2243)","(0.841, 1.2076)"
PPO,0,3.6946,"(1.181, 0.0724)","(0.6114, 1.8534)"
PPO,0,1.9602,"(0.0844, 0.1309)","(1.1166, 0.2354)"
PPO,0,9.169,"(0.278, 1.551)","(0.5787, 0.2168)"
PPO,0,9.0613,"(0.2225, 0.7687)","(0.1709, 0.1895)"
PPO,0,0.3749,"(0.9353, 0.0729)","(1.0678, 1.4395)"
PPO,0,0.3147,"(0.9503, 1.5257)","(1.1184, 0.3084)"
PPO,0,0.334,"(0.098, 0.4948)","(0.466, 0.9987)"
PPO,0,6.7206,"(0.3051, 1.6609)","(0.4926, 0.4628)"
PPO,0,10.3874,"(0.2321, 0.8702)","(0.6469, 0.6172)"
PPO,0,0.368,"(0.5558, 1.5692)","(0.1111, 1.165)"
PPO,0,0.0008,"(1.5421, 1.4349)","(0.7933, 1.1989)"
PPO,1,1.0084,"(0.168, 1.0207)","(0.1386, 0.9207)"
PPO,0,1.5798,"(1.41, 0.0741)","(1.1173, 1.2315)"
PPO,0,0.1848,"(1.6434, 0.6565)","(0.6457, 1.5351)"
PPO,1,3.8119,"(1.7749, 1.5895)","(1.8576, 1.6891)"
PPO,0,0.7848,"(0.8781, 1.2712)","(1.6801, 0.3068)"
PPO,0,1.8079,"(0.9281, 1.9277)","(0.8965, 0.1231)"
PPO,0,1.0356,"(1.9268, 1.5217)","(1.51, 0.653)"
PPO,0,0.5421,"(0.3949, 1.2975)","(0.799, 1.2572)"
PPO,0,0.3592,"(0.3966, 1.4724)","(0.7141, 0.9566)"
PPO,0,5.0852,"(0.2186, 0.9573)","(0.6886, 1.5391)"
PPO,0,0.6943,"(0.6097, 0.0629)","(0.2333, 0.8207)"
PPO,0,0.9977,"(0.5513, 1.0146)","(0.1177, 1.488)"
PPO,0,1.2894,"(0.3997, 1.9271)","(1.2013, 1.4585)"
PPO,0,5.4538,"(1.739, 0.5656)","(1.9353, 0.0631)"
PPO,0,0.4358,"(1.9009, 1.8512)","(1.6408, 0.2772)"
PPO,0,0.6328,"(1.9274, 1.1967)","(0.6183, 1.8571)"
PPO,0,0.0617,"(0.5506, 0.0975)","(0.7695, 0.4705)"
PPO,0,0.09,"(1.9279, 0.7217)","(0.5783, 1.3053)"
PPO,0,1.7621,"(1.5236, 0.0733)","(1.5087, 0.3246)"
PPO,0,0.0896,"(0.0934, 0.255)","(1.0363, 0.9411)"
PPO,0,0.0006,"(1.5299, 0.707)","(1.1612, 1.9228)"
PPO,0,4.0211,"(0.2267, 1.2565)","(0.6919, 1.4839)"
PPO,1,0.0365,"(1.2646, 1.1685)","(1.2111, 1.0697)"
PPO,0,1.1246,"(1.8999, 0.0856)","(1.0068, 1.4158)"
PPO,1,0.3125,"(0.9422, 0.2004)","(1.0417, 0.2279)"
PPO,0,3.7194,"(0.1957, 0.5172)","(0.7274, 1.9088)"
PPO,0,3.7532,"(0.2171, 0.6852)","(1.4429, 0.7432)"
PPO,0,0.0389,"(0.286, 0.0993)","(0.1951, 0.9978)"
PPO,0,0.1923,"(1.2549, 1.5682)","(0.2959, 1.0258)"
PPO,0,3.8011,"(0.5695, 1.7857)","(1.6412, 1.899)"
PPO,0,0.0904,"(0.0996, 0.1915)","(0.1209, 0.8628)"
PPO,0,3.8348,"(0.576, 1.7806)","(1.6227, 0.5958)"
PPO,0,0.8556,"(0.5464, 1.015)","(1.5312, 0.2892)"
PPO,0,0.2928,"(0.074, 0.3558)","(0.5398, 0.2947)"
PPO,0,0.0009,"(1.8867, 1.9329)","(0.2485, 1.4465)"
PPO,0,0.0682,"(0.0736, 1.0063)","(0.1853, 0.2105)"
PPO,0,0.0006,"(0.528, 0.3817)","(0.0858, 1.5993)"
PPO,0,0.0006,"(0.5797, 1.2176)","(1.0442, 0.4734)"
PPO,0,0.1323,"(0.7036, 0.3213)","(0.9359, 0.728)"
PPO,0,1.1416,"(1.9277, 1.5406)","(1.1643, 0.6779)"
PPO,0,0.1751,"(0.4104, 1.5488)","(1.6534, 1.5164)"
PPO,0,0.0006,"(0.7379, 0.6052)","(1.2976, 0.8782)"
PPO,0,0.0781,"(0.8114, 0.6098)","(0.6435, 1.3173)"
PPO,0,3.7491,"(0.7864, 0.2295)","(1.9395, 0.3754)"
PPO,1,0.7452,"(1.8481, 0.4938)","(1.9162, 0.3952)"
PPO,0,0.7104,"(1.08, 1.5055)","(1.882, 0.249)"
PPO,0,0.1106,"(0.3839, 0.5795)","(1.3839, 0.1644)"
PPO,0,0.0006,"(0.1847, 0.0822)","(0.8345, 1.6428)"
PPO,1,0.0006,"(0.984, 0.2282)","(0.9339, 0.1317)"
PPO,0,0.0006,"(0.4471, 0.6745)","(0.2035, 0.5674)"
PPO,0,0.935,"(1.9256, 1.0919)","(1.8196, 0.7357)"
PPO,0,0.3602,"(1.9062, 0.0845)","(0.2417, 0.3004)"
PPO,0,1.7362,"(1.5438, 0.0735)","(0.6336, 1.7694)"
PPO,0,0.0886,"(0.0935, 0.6455)","(1.1512, 1.3528)"
PPO,0,0.0005,"(0.0686, 0.2668)","(0.2428, 1.9407)"
PPO,0,0.1351,"(0.737, 1.5502)","(1.3827, 0.0979)"
PPO,0,0.2024,"(0.0987, 0.113)","(0.72, 0.7919)"
PPO,0,3.7887,"(0.5343, 1.7852)","(0.6814, 1.264)"
PPO,0,3.722,"(0.626, 1.7714)","(0.2135, 1.9238)"
PPO,0,3.7114,"(1.7621, 1.6293)","(0.1184, 1.0491)"
PPO,0,0.5508,"(0.0736, 0.6575)","(0.1537, 1.1817)"
PPO,0,0.7638,"(0.4247, 1.9276)","(1.0239, 1.6098)"
PPO,0,0.0737,"(0.3862, 0.3682)","(1.1557, 1.4409)"
PPO,0,0.6638,"(1.9149, 1.8912)","(0.1781, 0.2591)"
PPO,0,0.5403,"(1.9197, 1.9025)","(1.3187, 1.7104)"
PPO,0,0.3277,"(1.3537, 0.3384)","(0.9773, 1.8135)"
PPO,0,0.4951,"(1.3508, 1.0781)","(1.0251, 0.4588)"
PPO,0,1.4202,"(1.9273, 1.5446)","(1.0162, 0.1254)"
PPO,0,0.0005,"(1.3518, 0.0971)","(1.1863, 1.8124)"
PPO,0,0.0227,"(1.3744, 1.3754)","(1.133, 1.2527)"
PPO,0,0.5608,"(1.5169, 0.8326)","(0.6279, 1.5609)"
PPO,0,0.0006,"(0.6938, 1.4488)","(0.7701, 1.6513)"
PPO,0,0.312,"(1.1525, 0.6196)","(0.6545, 0.188)"
PPO,0,0.0006,"(1.3344, 0.609)","(0.0533, 0.1904)"
PPO,0,1.1511,"(0.0725, 0.4259)","(1.4402, 1.2057)"
PPO,0,3.7942,"(1.5734, 1.7195)","(1.8427, 0.1907)"
PPO,0,0.5148,"(0.9391, 0.3801)","(1.6857, 1.3878)"
PPO,0,0.0006,"(0.0749, 1.5775)","(0.9553, 1.896)"
PPO,0,3.7645,"(1.7905, 1.4388)","(0.8125, 1.3585)"
PPO,1,0.3652,"(0.3798, 1.3852)","(0.408, 1.4849)"
PPO,0,0.6332,"(1.9274, 1.5555)","(0.3814, 1.7921)"
PPO,0,3.7669,"(0.7255, 0.2416)","(1.5443, 0.9257)"
PPO,0,0.0178,"(1.1606, 1.4592)","(1.8699, 1.4085)"
PPO,0,1.7778,"(1.5309, 0.073)","(0.9642, 0.3808)"
PPO,0,0.2972,"(0.9434, 0.4454)","(1.9329, 1.0272)"
PPO,0,0.4455,"(0.5739, 0.061)","(1.491, 1.4245)"
PPO,0,1.2898,"(0.0736, 0.4042)","(1.7637, 1.1642)"
PPO,0,0.4428,"(1.1702, 1.2735)","(1.2403, 0.3588)"
PPO,0,0.3988,"(0.0729, 0.7331)","(0.6556, 1.0445)"
PPO,0,1.4435,"(0.4076, 1.9275)","(1.2306, 1.6365)"
PPO,0,0.0157,"(1.9025, 1.8803)","(0.8471, 0.9312)"
PPO,0,3.9066,"(1.4284, 0.1937)","(1.0571, 1.9168)"
PPO,0,0.0717,"(1.9006, 1.6373)","(1.0051, 0.8821)"
PPO,0,0.5462,"(1.5601, 0.0736)","(0.0651, 1.6208)"
PPO,0,0.1222,"(1.6292, 1.2655)","(1.0363, 1.6306)"
PPO,0,0.3917,"(0.7365, 0.0716)","(1.5168, 0.8613)"
PPO,0,0.1628,"(0.9348, 0.4675)","(0.3762, 0.7301)"
PPO,1,3.5692,"(0.2856, 1.5378)","(0.2295, 1.4392)"
PPO,0,0.2002,"(0.0872, 0.1171)","(1.4682, 0.282)"
PPO,0,0.1656,"(0.0802, 0.1532)","(0.6895, 0.1534)"
PPO,0,0.2834,"(0.0835, 0.1225)","(0.9381, 0.0899)"
PPO,0,0.0006,"(1.5791, 0.4742)","(1.2369, 0.3745)"
PPO,0,0.0005,"(0.6088, 1.3571)","(1.6842, 1.2729)"
PPO,0,1.111,"(0.0731, 0.4237)","(1.7781, 1.0697)"
PPO,0,0.0149,"(0.0734, 0.5971)","(0.5508, 1.7008)"
PPO,0,0.0764,"(0.0737, 0.2448)","(0.871, 0.5477)"
PPO,0,0.6584,"(0.8455, 1.2704)","(1.55, 0.7811)"
PPO,0,1.369,"(0.9204, 1.928)","(1.8774, 0.1894)"
PPO,0,0.2448,"(1.0513, 0.4224)","(1.7702, 0.1957)"
PPO,0,0.0514,"(1.9019, 0.3608)","(1.0824, 0.3765)"
PPO,0,0.6943,"(1.0401, 1.9284)","(1.439, 0.2731)"
PPO,0,0.5043,"(1.1481, 1.9262)","(0.0636, 0.079)"
PPO,0,0.3837,"(1.075, 1.4549)","(1.6285, 0.3983)"
PPO,0,3.8237,"(1.7768, 0.8544)","(1.6026, 1.4258)"
PPO,0,0.0006,"(0.7548, 1.9075)","(0.8082, 1.662)"
PPO,0,1.5047,"(1.9266, 1.567)","(1.8094, 0.2524)"
PPO,0,0.1967,"(0.3955, 0.7938)","(0.8766, 1.3835)"
PPO,1,0.2596,"(0.7472, 0.7532)","(0.6596, 0.6534)"
PPO,0,0.6952,"(1.5984, 0.0726)","(1.5901, 1.097)"
PPO,0,0.0525,"(1.7184, 0.0723)","(1.6278, 0.202)"
PPO,1,1.1857,"(0.2186, 0.1965)","(0.1601, 0.296)"
PPO,0,0.0912,"(0.941, 0.3853)","(1.6562, 1.5742)"
PPO,0,0.0006,"(0.0874, 0.9322)","(0.5207, 1.8204)"
PPO,0,0.2654,"(0.0731, 0.6363)","(0.353, 1.2098)"
PPO,0,1.3652,"(1.9273, 1.5262)","(1.4848, 1.4486)"
PPO,0,0.7951,"(1.1813, 0.0728)","(0.3926, 1.2595)"
PPO,0,0.0006,"(1.2142, 0.5598)","(0.5808, 1.333)"
PPO,0,3.8419,"(0.6252, 1.7803)","(0.9585, 1.2655)"
PPO,0,0.961,"(0.0722, 0.8387)","(1.8848, 0.2933)"
PPO,0,3.7038,"(1.7803, 1.3958)","(1.5449, 0.0614)"
PPO,1,0.9854,"(1.3225, 1.7597)","(1.2237, 1.8021)"
PPO,0,1.4444,"(0.4018, 1.9268)","(1.7363, 0.9507)"
PPO,0,3.6379,"(1.1265, 0.216)","(0.786, 1.9487)"
PPO,0,0.038,"(1.4599, 1.3696)","(1.0653, 1.4089)"
PPO,0,0.0052,"(0.7223, 0.4015)","(1.0684, 1.6113)"
PPO,0,0.7689,"(1.6009, 0.0733)","(0.3749, 1.0691)"
PPO,0,0.0006,"(0.5989, 0.4786)","(1.2554, 1.037)"
PPO,0,0.4389,"(1.0574, 0.0736)","(1.251, 0.6218)"
PPO,0,0.9375,"(0.0804, 0.1039)","(0.6561, 1.857)"
PPO,0,0.0022,"(0.5758, 0.6474)","(1.6165, 1.4952)"
